candidate_id,total_trades,resolved_return_trades,independent_trade_days,gross_result,largest_day,largest_day_trades,largest_day_result,largest_day_abs_result_share,largest_day_positive_result_share,top3_day_abs_result_share,pass_fail,notes
CAND_LONG_IMPULSE_FADE_LATE_US_STRUCTURAL,20,19,13,0.0097353384,2026-05-14,2,0.0020091373,0.179085,0.191764,0.460367,PASS,"PASS requires >=10 trade-days, largest abs day <=33%, top3 abs days <=60%; report is sidecar evidence, not official promotion."

source_day,trades,day_result
2026-05-14,2,0.0020091372615125003
2026-03-19,1,0.0020000909778411
2026-04-21,1,0.0011555797521812
2026-04-20,2,0.0011019565178023
2026-05-09,3,0.0009923446756012
2026-03-20,1,0.0009616500410447
2026-03-24,3,0.0009473612104565998
2026-04-13,1,0.0006645526407621
2026-03-31,2,0.0006444433864739999
2026-04-11,1,-0.0003095206928899
2026-05-07,1,-0.0002637640937987
2026-05-08,1,-0.0001684932583975
2026-04-05,0,0.0
