surface_id,family,side,horizon,clustered_events,independent_trade_days,net_edge_bp_after_0_00015,verdict,verdict_reason
VWAP_DEVIATION_REVERSION|SHORT|60|US|CHOP|EXTREME_GE_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,180.385734,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|EXPANSION|EXTREME_GE_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,171.693384,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|US|REVERSAL_CANDIDATE|HIGH_0_6_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,149.566434,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|EXPANSION|HIGH_0_6_1_0|Q90_95|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,60,2,1,148.256652,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|EXPANSION|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,145.156071,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|LONG|60|LONDON|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,EXHAUSTION_REVERSAL,LONG,60,1,1,139.709355,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|US|UNKNOWN|HIGH_0_6_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,60,1,1,138.335082,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,133.58588,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|CHOP|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,130.999362,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q90_95|STRONG_GE_0_45,EXHAUSTION_REVERSAL,SHORT,60,1,1,130.79618,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LONDON|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,24,1,1,128.724021,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|LONG|60|US|REVERSAL_CANDIDATE|LOW_LT_0_3|Q95_PLUS|STRONG_GE_0_45,EXHAUSTION_REVERSAL,LONG,60,1,1,126.312176,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|US|UNKNOWN|EXTREME_GE_1_0|BELOW_Q75|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,LONG,60,1,1,126.142204,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|UNKNOWN|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,1,1,117.03572,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|US|REVERSAL_CANDIDATE|MID_0_3_0_6|Q95_PLUS|MID_0_25_0_45,EXHAUSTION_REVERSAL,SHORT,60,1,1,115.102007,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|24|LATE_US|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,24,1,1,111.065653,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|6|LATE_US|EXPANSION|EXTREME_GE_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,6,1,1,110.836364,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
