family,side,horizon,vwap_bp_bucket,surface_type,events,independent_days,max_day_count,max_day_share,mean_return_bp,median_return_bp,positive_rate,net_bp_after_0_00015,net_bp_after_0_00020,avg_MFE,avg_MAE,MFE_MAE_ratio,max_session_share,session_distribution,no_lookahead_predicates,verdict,verdict_reason,rejection_strength_bucket,volume_bucket
VWAP_DEVIATION_REVERSION,LONG,60,VWAP_100_200BP,vwap_bucket_only,423,30,41,0.096927,11.714933,9.869024,0.652482,10.214933,9.714933,42.465402,-28.11611,1.510358,0.463357,"{""ASIA"": 26, ""LATE_US"": 129, ""LONDON"": 72, ""US"": 196}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,60,VWAP_100_200BP,vwap_bucket_only,305,31,31,0.101639,10.410669,17.474484,0.639344,8.910669,8.410669,49.328241,-35.872559,1.375097,0.501639,"{""ASIA"": 14, ""LATE_US"": 110, ""LONDON"": 28, ""US"": 153}",True,NEEDS_REPLAY_SPEC,max_day_share_between_0_10_and_0_15_accepted_for_replay_spec_review,,
VWAP_DEVIATION_REVERSION,LONG,24,VWAP_100_200BP,vwap_bucket_only,423,30,41,0.096927,9.672974,8.023325,0.680851,8.172974,7.672974,22.240924,-12.418977,1.790882,0.463357,"{""ASIA"": 26, ""LATE_US"": 129, ""LONDON"": 72, ""US"": 196}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,24,VWAP_100_200BP,vwap_bucket_only,305,31,31,0.101639,9.469676,9.859556,0.629508,7.969676,7.469676,24.49221,-13.54268,1.80852,0.501639,"{""ASIA"": 14, ""LATE_US"": 110, ""LONDON"": 28, ""US"": 153}",True,NEEDS_REPLAY_SPEC,max_day_share_between_0_10_and_0_15_accepted_for_replay_spec_review,,
VWAP_DEVIATION_REVERSION,SHORT,12,VWAP_100_200BP,vwap_bucket_only,305,31,31,0.101639,9.42756,8.849227,0.665574,7.92756,7.42756,24.49221,-13.54268,1.80852,0.501639,"{""ASIA"": 14, ""LATE_US"": 110, ""LONDON"": 28, ""US"": 153}",True,NEEDS_REPLAY_SPEC,max_day_share_between_0_10_and_0_15_accepted_for_replay_spec_review,,
VWAP_DEVIATION_REVERSION,LONG,24,VWAP_45_60BP,vwap_bucket_only,371,52,19,0.051213,9.270397,6.629693,0.681941,7.770397,7.270397,18.180707,-7.810853,2.327621,0.301887,"{""ASIA"": 99, ""LATE_US"": 50, ""LONDON"": 112, ""US"": 110}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,12,VWAP_45_60BP,vwap_bucket_only,371,52,19,0.051213,8.430782,8.012115,0.74124,6.930782,6.430782,18.180707,-7.810853,2.327621,0.301887,"{""ASIA"": 99, ""LATE_US"": 50, ""LONDON"": 112, ""US"": 110}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,24,VWAP_60_100BP,vwap_bucket_only,507,49,41,0.080868,8.174585,7.674765,0.623274,6.674585,6.174585,18.860191,-10.552963,1.787194,0.362919,"{""ASIA"": 69, ""LATE_US"": 134, ""LONDON"": 120, ""US"": 184}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,12,VWAP_100_200BP,vwap_bucket_only,423,30,41,0.096927,8.007371,7.045182,0.669031,6.507371,6.007371,22.240924,-12.418977,1.790882,0.463357,"{""ASIA"": 26, ""LATE_US"": 129, ""LONDON"": 72, ""US"": 196}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,60,VWAP_45_60BP,vwap_bucket_only,425,54,19,0.044706,7.556187,6.226896,0.595294,6.056187,5.556187,35.516555,-24.484416,1.450578,0.308235,"{""ASIA"": 88, ""LATE_US"": 98, ""LONDON"": 108, ""US"": 131}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,6,VWAP_100_200BP,vwap_bucket_only,305,31,31,0.101639,7.500482,6.278237,0.639344,6.000482,5.500482,24.49221,-13.54268,1.80852,0.501639,"{""ASIA"": 14, ""LATE_US"": 110, ""LONDON"": 28, ""US"": 153}",True,NEEDS_REPLAY_SPEC,max_day_share_between_0_10_and_0_15_accepted_for_replay_spec_review,,
VWAP_DEVIATION_REVERSION,SHORT,12,VWAP_60_100BP,vwap_bucket_only,508,49,41,0.080709,6.918368,6.510299,0.67126,5.418368,4.918368,18.859005,-10.535366,1.790066,0.362205,"{""ASIA"": 69, ""LATE_US"": 134, ""LONDON"": 121, ""US"": 184}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,60,VWAP_60_100BP,vwap_bucket_only,507,49,41,0.080868,6.595662,9.112698,0.593688,5.095662,4.595662,40.667864,-29.240971,1.390784,0.362919,"{""ASIA"": 69, ""LATE_US"": 134, ""LONDON"": 120, ""US"": 184}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,24,VWAP_45_60BP,vwap_bucket_only,426,54,19,0.044601,6.575249,7.863228,0.673709,5.075249,4.575249,17.392063,-8.229948,2.113265,0.307512,"{""ASIA"": 88, ""LATE_US"": 98, ""LONDON"": 109, ""US"": 131}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,6,VWAP_100_200BP,vwap_bucket_only,423,30,41,0.096927,6.554542,5.298154,0.65721,5.054542,4.554542,22.240924,-12.418977,1.790882,0.463357,"{""ASIA"": 26, ""LATE_US"": 129, ""LONDON"": 72, ""US"": 196}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,12,VWAP_45_60BP,vwap_bucket_only,427,54,19,0.044496,6.466764,6.003934,0.697892,4.966764,4.466764,17.394299,-8.215858,2.117161,0.306792,"{""ASIA"": 88, ""LATE_US"": 98, ""LONDON"": 110, ""US"": 131}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,60,VWAP_45_60BP,vwap_bucket_only,371,52,19,0.051213,6.098498,7.336788,0.606469,4.598498,4.098498,37.75602,-27.105953,1.392905,0.301887,"{""ASIA"": 99, ""LATE_US"": 50, ""LONDON"": 112, ""US"": 110}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,6,VWAP_45_60BP,vwap_bucket_only,371,52,19,0.051213,5.543485,4.975138,0.684636,4.043485,3.543485,18.180707,-7.810853,2.327621,0.301887,"{""ASIA"": 99, ""LATE_US"": 50, ""LONDON"": 112, ""US"": 110}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,6,VWAP_45_60BP,vwap_bucket_only,427,54,19,0.044496,5.508096,4.686986,0.704918,4.008096,3.508096,17.394299,-8.215858,2.117161,0.306792,"{""ASIA"": 88, ""LATE_US"": 98, ""LONDON"": 110, ""US"": 131}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,6,VWAP_60_100BP,vwap_bucket_only,508,49,41,0.080709,5.119617,4.387097,0.661417,3.619617,3.119617,18.859005,-10.535366,1.790066,0.362205,"{""ASIA"": 69, ""LATE_US"": 134, ""LONDON"": 121, ""US"": 184}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,3,VWAP_100_200BP,vwap_bucket_only,305,31,31,0.101639,5.028666,4.227196,0.645902,3.528666,3.028666,24.49221,-13.54268,1.80852,0.501639,"{""ASIA"": 14, ""LATE_US"": 110, ""LONDON"": 28, ""US"": 153}",True,NEEDS_REPLAY_SPEC,max_day_share_between_0_10_and_0_15_accepted_for_replay_spec_review,,
VWAP_DEVIATION_REVERSION,LONG,12,VWAP_60_100BP,vwap_bucket_only,454,42,37,0.081498,4.89324,4.495627,0.625551,3.39324,2.89324,17.806461,-11.052736,1.611046,0.442731,"{""ASIA"": 39, ""LATE_US"": 110, ""LONDON"": 104, ""US"": 201}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,3,VWAP_100_200BP,vwap_bucket_only,423,30,41,0.096927,4.806174,3.826915,0.661939,3.306174,2.806174,22.240924,-12.418977,1.790882,0.463357,"{""ASIA"": 26, ""LATE_US"": 129, ""LONDON"": 72, ""US"": 196}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,6,VWAP_60_100BP,vwap_bucket_only,454,42,37,0.081498,4.554934,4.51781,0.65859,3.054934,2.554934,17.806461,-11.052736,1.611046,0.442731,"{""ASIA"": 39, ""LATE_US"": 110, ""LONDON"": 104, ""US"": 201}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,60,VWAP_60_100BP,vwap_bucket_only,454,42,37,0.081498,4.384729,4.693392,0.557269,2.884729,2.384729,36.278382,-31.152206,1.164553,0.442731,"{""ASIA"": 39, ""LATE_US"": 110, ""LONDON"": 104, ""US"": 201}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,24,VWAP_60_100BP,vwap_bucket_only,454,42,37,0.081498,4.199599,4.763715,0.588106,2.699599,2.199599,17.806461,-11.052736,1.611046,0.442731,"{""ASIA"": 39, ""LATE_US"": 110, ""LONDON"": 104, ""US"": 201}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,3,VWAP_60_100BP,vwap_bucket_only,508,49,41,0.080709,4.037075,3.439792,0.663386,2.537075,2.037075,18.859005,-10.535366,1.790066,0.362205,"{""ASIA"": 69, ""LATE_US"": 134, ""LONDON"": 121, ""US"": 184}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,SHORT,3,VWAP_45_60BP,vwap_bucket_only,426,54,19,0.044601,3.878103,2.753351,0.678404,2.378103,1.878103,17.406504,-8.235145,2.113685,0.305164,"{""ASIA"": 88, ""LATE_US"": 98, ""LONDON"": 110, ""US"": 130}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,3,VWAP_45_60BP,vwap_bucket_only,371,52,19,0.051213,3.834727,3.61207,0.665768,2.334727,1.834727,18.180707,-7.810853,2.327621,0.301887,"{""ASIA"": 99, ""LATE_US"": 50, ""LONDON"": 112, ""US"": 110}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,3,VWAP_60_100BP,vwap_bucket_only,454,42,37,0.081498,3.450704,3.21127,0.645374,1.950704,1.450704,17.806461,-11.052736,1.611046,0.442731,"{""ASIA"": 39, ""LATE_US"": 110, ""LONDON"": 104, ""US"": 201}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate,,
VWAP_DEVIATION_REVERSION,LONG,60,VWAP_GE_200BP,vwap_bucket_only,23,5,10,0.434783,43.180121,37.038731,0.913043,41.680121,41.180121,71.061397,-22.801228,3.11656,0.695652,"{""LATE_US"": 5, ""LONDON"": 2, ""US"": 16}",True,REJECT_SURFACE,events_below_50;independent_days_below_15;day_concentration_above_0_15,,
VWAP_DEVIATION_REVERSION,LONG,24,VWAP_GE_200BP,vwap_bucket_only,23,5,10,0.434783,33.82544,30.342245,0.869565,32.32544,31.82544,42.156171,-11.626312,3.625928,0.695652,"{""LATE_US"": 5, ""LONDON"": 2, ""US"": 16}",True,REJECT_SURFACE,events_below_50;independent_days_below_15;day_concentration_above_0_15,,
VWAP_DEVIATION_REVERSION,LONG,12,VWAP_GE_200BP,vwap_bucket_only,23,5,10,0.434783,26.523577,27.89841,0.826087,25.023577,24.523577,42.156171,-11.626312,3.625928,0.695652,"{""LATE_US"": 5, ""LONDON"": 2, ""US"": 16}",True,REJECT_SURFACE,events_below_50;independent_days_below_15;day_concentration_above_0_15,,
VWAP_DEVIATION_REVERSION,LONG,6,VWAP_GE_200BP,vwap_bucket_only,23,5,10,0.434783,17.838025,15.526493,0.782609,16.338025,15.838025,42.156171,-11.626312,3.625928,0.695652,"{""LATE_US"": 5, ""LONDON"": 2, ""US"": 16}",True,REJECT_SURFACE,events_below_50;independent_days_below_15;day_concentration_above_0_15,,
VWAP_DEVIATION_REVERSION,SHORT,60,VWAP_GE_200BP,vwap_bucket_only,45,6,11,0.244444,15.233992,13.870016,0.6,13.733992,13.233992,78.805824,-63.797602,1.235247,0.466667,"{""LATE_US"": 20, ""LONDON"": 4, ""US"": 21}",True,REJECT_SURFACE,events_below_50;independent_days_below_15;day_concentration_above_0_15,,
VWAP_DEVIATION_REVERSION,LONG,3,VWAP_GE_200BP,vwap_bucket_only,23,5,10,0.434783,12.165433,11.092514,0.826087,10.665433,10.165433,42.156171,-11.626312,3.625928,0.695652,"{""LATE_US"": 5, ""LONDON"": 2, ""US"": 16}",True,REJECT_SURFACE,events_below_50;independent_days_below_15;day_concentration_above_0_15,,
