split,bucket,trades,net,net_0_00015,winrate,median,contribution_share
session,ASIA,43,0.0262807553,0.0198307553,0.418605,-0.0005325064,0.235925
session,LATE_US,33,0.0211598347,0.0162098347,0.454545,-0.0004797599,0.189954
session,LONDON,33,0.0077789165,0.0028289165,0.393939,-0.0003922554,0.069832
session,US,72,0.0561751708,0.0453751708,0.375,-0.0005926634,0.50429
regime,CHOP,2,-0.0025028749,-0.0028028749,0.0,-0.0012514375,-0.022469
regime,EXPANSION,39,0.0295844692,0.0237344692,0.461538,-0.0004047949,0.265582
regime,REVERSAL_CANDIDATE,135,0.0792062047,0.0589562047,0.392593,-0.0005526782,0.711041
regime,TREND_UP,5,0.0051068783,0.0043568783,0.4,-0.0003543199,0.045845
weekday_weekend,WEEKDAY,156,0.0925254451,0.0691254451,0.378205,-0.000549108,0.830609
weekday_weekend,WEEKEND,25,0.0188692322,0.0151192322,0.56,0.0008046067,0.169391
lineage,primary,156,0.098286335,0.074886335,0.403846,-0.0005447376,0.882325
lineage,primary_plus_recovered_gap,25,0.0131083423,0.0093583423,0.4,-0.0003855769,0.117675
