ShortlistRank,SourceReport,GroupType,GroupValue,SelectionDecision,SelectionReason,RankingLabel,ScoreBand,SampleBand,DeltaDirection,PositiveRateDirection,ExplanationCode
1,report,LifecycleStatus,EXPIRED,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,LARGE,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|LARGE|UP|UP
2,report,Direction,LONG,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP
3,report,SetupType,FAILED_BREAK_RECLAIM_LONG,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP
4,context_report,RelVolume_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP
5,context_report,LiqTotalRatio_20,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP
6,context_report,CtxRelVolumeSpike_v1,1,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
7,context_report,RelVolume_20,HIGH,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP
8,context_report,AbsorptionScore_v1,LOW,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|DOWN|UP
9,context_report,DeltaAbsRatio_20,MID,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,MEDIUM,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|DOWN|UP
10,context_report,CtxOISpike_v1,0,SELECT,STRONG_POSITIVE_EDGE,TOP,MODERATE,LARGE,DOWN,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|LARGE|DOWN|UP
