ShortlistRank,ResearchPriority,SourceReport,GroupType,GroupValue,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason,ScoreBand,SampleBand,DeltaDirection,PositiveRateDirection,ExplanationCode,OutcomeSemantics,ConfidenceModelStatus,AcceptedBreakSemanticsStatus,ContextFormalizationStatus,ExecutableEntrySemanticsStatus,FormalizationEligible,Direction,SetupType,EligibleEventTypes
1,P1,report,LifecycleStatus,EXPIRED,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.5287084892097236,TOP,0.39860112515170376,0.4782608695652174,SELECT,STRONG_POSITIVE_EDGE,STRONG,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|STRONG|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
2,P1,context_report,RelVolume_20,MID,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2305909129169381,TOP,0.15054836733608948,0.2115942028985507,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
3,P1,report,Direction,LONG,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.22047729849880923,TOP,0.13324136922602353,0.2055335968379447,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,True,LONG,FAILED_BREAK_RECLAIM,FAILED_BREAK_DOWN
4,P1,report,SetupType,FAILED_BREAK_RECLAIM_LONG,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.22047729849880923,TOP,0.13324136922602353,0.2055335968379447,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,True,LONG,FAILED_BREAK_RECLAIM_LONG,FAILED_BREAK_DOWN
5,P1,context_report,AbsorptionScore_v1,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.17790716098926262,TOP,0.08800108717392645,0.1657608695652174,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
6,P1,context_report,OIChangeAbsRatio_20,MID,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.16922925921675153,TOP,0.18948616401667198,0.14492753623188404,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
7,P1,context_report,DeltaAbsRatio_20,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.16874455443757894,TOP,0.01246606647967335,0.1657608695652174,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
8,P1,context_report,LiqTotalRatio_20,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.10994133115157212,TOP,0.04029551442569191,0.1032608695652174,SELECT,STRONG_POSITIVE_EDGE,MODERATE,MEDIUM,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|MODERATE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
9,P1,context_report,CtxLiqSpike_v1,1,5,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08482073744898391,TOP,0.04411053116033355,0.07826086956521738,SELECT,STRONG_POSITIVE_EDGE,WEAK_POSITIVE,SMALL,UP,UP,SELECT|STRONG_POSITIVE_EDGE|TOP|WEAK_POSITIVE|SMALL|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
10,P2,context_report,CtxOISpike_v1,0,38,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.03636400733479107,TOP,0.03350663865276517,0.03089244851258588,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
11,P2,context_report,OIChangeAbsRatio_20,LOW,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.035600112956643025,TOP,-0.04892294699855114,0.040760869565217406,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,MEDIUM,DOWN,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
12,P2,context_report,CtxWickReclaim_v1,0,39,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.02269766963065424,TOP,0.035312750575952574,0.01672240802675584,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
13,P2,context_report,LiqTotalRatio_20,HIGH,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.018862418182764337,TOP,0.05216162548847143,0.011594202898550732,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,MEDIUM,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
14,P2,context_report,CtxRelVolumeSpike_v1,0,39,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.018436100820607624,TOP,0.0033119426656373764,0.01672240802675584,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,LARGE,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
15,P2,context_report,RelVolume_20,HIGH,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.017573585926091585,TOP,0.02813279145222522,0.011594202898550732,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,MEDIUM,UP,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|MEDIUM|UP|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
16,P2,context_report,CtxDeltaSpike_v1,0,40,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.004259439544008913,TOP,-0.0028944855994105906,0.003260869565217428,REVIEW,POSITIVE_BUT_BORDERLINE,WEAK_POSITIVE,LARGE,DOWN,UP,REVIEW|POSITIVE_BUT_BORDERLINE|TOP|WEAK_POSITIVE|LARGE|DOWN|UP,RESEARCH_PROXY_FIXED_HORIZON,PROXY_RANKING_HEURISTIC,NOT_IMPLEMENTED,DESCRIPTIVE_ONLY_UNLESS_EXPLICIT_SEMANTICS,IMPLEMENTED_IN_BACKTEST_RULESET_V1,False,,,
