ShortlistRank,SourceReport,GroupType,GroupValue,SemanticClass,FormalizationPath,SampleCount,RankingMethod,RankingScore,RankingLabel,Delta_Mean_CloseReturn_Pct,Delta_PositiveCloseReturnRate,SelectionDecision,SelectionReason
1,report,LifecycleStatus,EXPIRED,DIAGNOSTIC_ONLY,NOT_DIRECT_FORMALIZATION_SOURCE,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.5287084892097236,TOP,0.39860112515170376,0.4782608695652174,SELECT,STRONG_POSITIVE_EDGE
2,context_report,RelVolume_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.2305909129169381,TOP,0.15054836733608948,0.2115942028985507,SELECT,STRONG_POSITIVE_EDGE
3,report,Direction,LONG,BASELINE_DIRECT,BASELINE_AUTO,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.22047729849880923,TOP,0.13324136922602353,0.2055335968379447,SELECT,STRONG_POSITIVE_EDGE
4,report,SetupType,FAILED_BREAK_RECLAIM_LONG,BASELINE_DIRECT,BASELINE_AUTO,11,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.22047729849880923,TOP,0.13324136922602353,0.2055335968379447,SELECT,STRONG_POSITIVE_EDGE
5,context_report,AbsorptionScore_v1,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.17790716098926262,TOP,0.08800108717392645,0.1657608695652174,SELECT,STRONG_POSITIVE_EDGE
6,context_report,OIChangeAbsRatio_20,MID,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.16922925921675153,TOP,0.18948616401667198,0.14492753623188404,SELECT,STRONG_POSITIVE_EDGE
7,context_report,DeltaAbsRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.16874455443757894,TOP,0.01246606647967335,0.1657608695652174,SELECT,STRONG_POSITIVE_EDGE
8,context_report,LiqTotalRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.10994133115157212,TOP,0.04029551442569191,0.1032608695652174,SELECT,STRONG_POSITIVE_EDGE
9,context_report,CtxLiqSpike_v1,1,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,5,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.08482073744898391,TOP,0.04411053116033355,0.07826086956521738,SELECT,STRONG_POSITIVE_EDGE
10,context_report,CtxOISpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,38,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.03636400733479107,TOP,0.03350663865276517,0.03089244851258588,REVIEW,POSITIVE_BUT_BORDERLINE
11,context_report,OIChangeAbsRatio_20,LOW,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,16,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.035600112956643025,TOP,-0.04892294699855114,0.040760869565217406,REVIEW,POSITIVE_BUT_BORDERLINE
12,context_report,CtxWickReclaim_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,39,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.02269766963065424,TOP,0.035312750575952574,0.01672240802675584,REVIEW,POSITIVE_BUT_BORDERLINE
13,context_report,LiqTotalRatio_20,HIGH,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.018862418182764337,TOP,0.05216162548847143,0.011594202898550732,REVIEW,POSITIVE_BUT_BORDERLINE
14,context_report,CtxRelVolumeSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,39,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.018436100820607624,TOP,0.0033119426656373764,0.01672240802675584,REVIEW,POSITIVE_BUT_BORDERLINE
15,context_report,RelVolume_20,HIGH,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,15,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.017573585926091585,TOP,0.02813279145222522,0.011594202898550732,REVIEW,POSITIVE_BUT_BORDERLINE
16,context_report,CtxDeltaSpike_v1,0,RESEARCH_CONTEXT_ONLY,EXPLICIT_SEMANTICS_REQUIRED,40,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.004259439544008913,TOP,-0.0028944855994105906,0.003260869565217428,REVIEW,POSITIVE_BUT_BORDERLINE
17,report,OutcomeStatus,FULL_HORIZON,DIAGNOSTIC_ONLY,NOT_DIRECT_FORMALIZATION_SOURCE,46,RANKING_V1_LINEAR_DELTA_MFE_MAE,0.001625591478537176,TOP,0.0,0.0,REVIEW,POSITIVE_BUT_BORDERLINE
