Timestamp,EventType,Side,PriceLevel,SourceTF,ReferenceSwingTs,ReferenceSwingPrice,Confidence,MetaJson
2026-03-30 04:00:00+00:00,SWING_HIGH,up,67487.7,H1,2026-03-30 04:00:00+00:00,67487.7,,
2026-03-30 04:29:00+00:00,SWEEP_UP,up,67487.7,H1,2026-03-30 04:00:00+00:00,67487.7,,
2026-03-30 04:30:00+00:00,FAILED_BREAK_UP,up,67487.7,H1,2026-03-30 04:29:00+00:00,67487.7,,
2026-03-30 07:00:00+00:00,SWING_HIGH,up,67777.0,H1,2026-03-30 07:00:00+00:00,67777.0,,
2026-03-30 08:06:00+00:00,SWEEP_UP,up,67777.0,H1,2026-03-30 07:00:00+00:00,67777.0,,
2026-03-30 08:08:00+00:00,FAILED_BREAK_UP,up,67777.0,H1,2026-03-30 08:06:00+00:00,67777.0,,
2026-03-30 09:00:00+00:00,SWING_LOW,down,67180.5,H1,2026-03-30 09:00:00+00:00,67180.5,,
2026-03-30 10:00:00+00:00,SWING_HIGH,up,67920.0,H1,2026-03-30 10:00:00+00:00,67920.0,,
2026-03-30 11:27:00+00:00,SWEEP_UP,up,67920.0,H1,2026-03-30 10:00:00+00:00,67920.0,,
2026-03-30 11:28:00+00:00,FAILED_BREAK_UP,up,67920.0,H1,2026-03-30 11:27:00+00:00,67920.0,,
2026-03-30 12:00:00+00:00,SWING_LOW,down,67333.3,H1,2026-03-30 12:00:00+00:00,67333.3,,
2026-03-30 13:00:00+00:00,SWING_HIGH,up,67998.0,H1,2026-03-30 13:00:00+00:00,67998.0,,
2026-03-30 13:22:00+00:00,SWEEP_UP,up,67998.0,H1,2026-03-30 13:00:00+00:00,67998.0,,
2026-03-30 13:26:00+00:00,FAILED_BREAK_UP,up,67998.0,H1,2026-03-30 13:22:00+00:00,67998.0,,
2026-03-30 14:20:00+00:00,SWEEP_DOWN,down,67333.3,H1,2026-03-30 12:00:00+00:00,67333.3,,
2026-03-30 14:21:00+00:00,FAILED_BREAK_DOWN,down,67333.3,H1,2026-03-30 14:20:00+00:00,67333.3,,
2026-03-30 15:00:00+00:00,SWING_HIGH,up,68148.4,H1,2026-03-30 15:00:00+00:00,68148.4,,
2026-03-30 16:00:00+00:00,SWING_LOW,down,67055.0,H1,2026-03-30 16:00:00+00:00,67055.0,,
2026-03-30 17:00:00+00:00,SWING_HIGH,up,67875.0,H1,2026-03-30 17:00:00+00:00,67875.0,,
2026-03-30 17:22:00+00:00,SWEEP_DOWN,down,67055.0,H1,2026-03-30 16:00:00+00:00,67055.0,,
2026-03-30 20:00:00+00:00,SWING_HIGH,up,68148.4,H4,2026-03-30 20:00:00+00:00,68148.4,,
2026-03-30 21:00:00+00:00,SWING_LOW,down,66200.1,H1,2026-03-30 21:00:00+00:00,66200.1,,
2026-03-30 23:00:00+00:00,SWING_HIGH,up,66973.5,H1,2026-03-30 23:00:00+00:00,66973.5,,
2026-03-31 00:00:00+00:00,SWING_LOW,down,66200.1,H4,2026-03-31 00:00:00+00:00,66200.1,,
2026-03-31 00:46:00+00:00,SWEEP_UP,up,66973.5,H1,2026-03-30 23:00:00+00:00,66973.5,,
2026-03-31 01:00:00+00:00,SWING_LOW,down,66377.1,H1,2026-03-31 01:00:00+00:00,66377.1,,
2026-03-31 01:35:00+00:00,SWEEP_UP,up,68148.4,H4,2026-03-30 20:00:00+00:00,68148.4,,
2026-03-31 01:37:00+00:00,FAILED_BREAK_UP,up,68148.4,H4,2026-03-31 01:35:00+00:00,68148.4,,
2026-03-31 03:00:00+00:00,SWING_HIGH,up,68377.0,H1,2026-03-31 03:00:00+00:00,68377.0,,
2026-03-31 08:00:00+00:00,SWING_HIGH,up,68377.0,H4,2026-03-31 08:00:00+00:00,68377.0,,
2026-03-31 09:27:00+00:00,SWEEP_DOWN,down,66377.1,H1,2026-03-31 01:00:00+00:00,66377.1,,
2026-03-31 09:28:00+00:00,FAILED_BREAK_DOWN,down,66377.1,H1,2026-03-31 09:27:00+00:00,66377.1,,
2026-03-31 09:56:00+00:00,SWEEP_DOWN,down,66200.1,H4,2026-03-31 00:00:00+00:00,66200.1,,
2026-03-31 10:06:00+00:00,FAILED_BREAK_DOWN,down,66200.1,H4,2026-03-31 09:56:00+00:00,66200.1,,
2026-03-31 11:00:00+00:00,SWING_LOW,down,65938.0,H1,2026-03-31 11:00:00+00:00,65938.0,,
2026-03-31 16:00:00+00:00,SWING_HIGH,up,67765.8,H1,2026-03-31 16:00:00+00:00,67765.8,,
2026-03-31 16:00:00+00:00,SWING_LOW,down,66374.4,H1,2026-03-31 16:00:00+00:00,66374.4,,
2026-03-31 16:00:00+00:00,SWING_LOW,down,65938.0,H4,2026-03-31 16:00:00+00:00,65938.0,,
2026-03-31 16:42:00+00:00,SWEEP_UP,up,67765.8,H1,2026-03-31 16:00:00+00:00,67765.8,,
2026-03-31 16:45:00+00:00,FAILED_BREAK_UP,up,67765.8,H1,2026-03-31 16:42:00+00:00,67765.8,,
2026-03-31 17:15:00+00:00,SWEEP_UP,up,68377.0,H4,2026-03-31 08:00:00+00:00,68377.0,,
2026-03-31 17:16:00+00:00,FAILED_BREAK_UP,up,68377.0,H4,2026-03-31 17:15:00+00:00,68377.0,,
2026-03-31 19:00:00+00:00,SWING_HIGH,up,68600.0,H1,2026-03-31 19:00:00+00:00,68600.0,,
2026-03-31 23:00:00+00:00,SWING_HIGH,up,68382.9,H1,2026-03-31 23:00:00+00:00,68382.9,,
2026-04-01 00:00:00+00:00,SWING_HIGH,up,68600.0,H4,2026-04-01 00:00:00+00:00,68600.0,,
2026-04-01 01:00:00+00:00,SWING_HIGH,up,68332.6,H1,2026-04-01 01:00:00+00:00,68332.6,,
2026-04-01 03:00:00+00:00,SWING_HIGH,up,68330.0,H1,2026-04-01 03:00:00+00:00,68330.0,,
2026-04-01 04:00:00+00:00,SWING_LOW,down,67534.9,H1,2026-04-01 04:00:00+00:00,67534.9,,
2026-04-01 04:54:00+00:00,SWEEP_UP,up,68330.0,H1,2026-04-01 03:00:00+00:00,68330.0,,
2026-04-01 04:55:00+00:00,FAILED_BREAK_UP,up,68330.0,H1,2026-04-01 04:54:00+00:00,68330.0,,
2026-04-01 05:26:00+00:00,SWEEP_UP,up,68600.0,H4,2026-04-01 00:00:00+00:00,68600.0,,
2026-04-01 05:27:00+00:00,FAILED_BREAK_UP,up,68600.0,H4,2026-04-01 05:26:00+00:00,68600.0,,
2026-04-01 08:00:00+00:00,SWING_LOW,down,67534.9,H4,2026-04-01 08:00:00+00:00,67534.9,,
2026-04-01 09:00:00+00:00,SWING_HIGH,up,69288.0,H1,2026-04-01 09:00:00+00:00,69288.0,,
2026-04-01 11:00:00+00:00,SWING_LOW,down,68360.0,H1,2026-04-01 11:00:00+00:00,68360.0,,
2026-04-01 12:00:00+00:00,SWING_HIGH,up,69288.0,H4,2026-04-01 12:00:00+00:00,69288.0,,
2026-04-01 12:37:00+00:00,SWEEP_DOWN,down,68360.0,H1,2026-04-01 11:00:00+00:00,68360.0,,
2026-04-01 12:45:00+00:00,FAILED_BREAK_DOWN,down,68360.0,H1,2026-04-01 12:37:00+00:00,68360.0,,
2026-04-01 14:00:00+00:00,SWING_HIGH,up,68773.9,H1,2026-04-01 14:00:00+00:00,68773.9,,
2026-04-01 15:00:00+00:00,SWING_LOW,down,67883.7,H1,2026-04-01 15:00:00+00:00,67883.7,,
2026-04-01 15:26:00+00:00,SWEEP_UP,up,68773.9,H1,2026-04-01 14:00:00+00:00,68773.9,,
2026-04-01 15:27:00+00:00,FAILED_BREAK_UP,up,68773.9,H1,2026-04-01 15:26:00+00:00,68773.9,,
2026-04-01 19:00:00+00:00,SWING_HIGH,up,69142.6,H1,2026-04-01 19:00:00+00:00,69142.6,,
2026-04-01 20:00:00+00:00,SWING_LOW,down,67900.4,H1,2026-04-01 20:00:00+00:00,67900.4,,
2026-04-01 20:00:00+00:00,SWING_LOW,down,67883.7,H4,2026-04-01 20:00:00+00:00,67883.7,,
2026-04-01 22:00:00+00:00,SWING_LOW,down,67927.0,H1,2026-04-01 22:00:00+00:00,67927.0,,
2026-04-01 23:00:00+00:00,SWING_HIGH,up,68510.6,H1,2026-04-01 23:00:00+00:00,68510.6,,
2026-04-02 00:00:00+00:00,SWING_HIGH,up,69142.6,H4,2026-04-02 00:00:00+00:00,69142.6,,
2026-04-02 00:46:00+00:00,SWEEP_UP,up,68510.6,H1,2026-04-01 23:00:00+00:00,68510.6,,
2026-04-02 00:47:00+00:00,FAILED_BREAK_UP,up,68510.6,H1,2026-04-02 00:46:00+00:00,68510.6,,
2026-04-02 01:00:00+00:00,SWING_LOW,down,67952.2,H1,2026-04-02 01:00:00+00:00,67952.2,,
2026-04-02 01:06:00+00:00,SWEEP_DOWN,down,67952.2,H1,2026-04-02 01:00:00+00:00,67952.2,,
2026-04-02 01:06:00+00:00,SWEEP_DOWN,down,67883.7,H4,2026-04-01 20:00:00+00:00,67883.7,,
2026-04-02 01:08:00+00:00,FAILED_BREAK_DOWN,down,67952.2,H1,2026-04-02 01:06:00+00:00,67952.2,,
2026-04-02 01:08:00+00:00,FAILED_BREAK_DOWN,down,67883.7,H4,2026-04-02 01:06:00+00:00,67883.7,,
2026-04-02 02:00:00+00:00,SWING_HIGH,up,68639.1,H1,2026-04-02 02:00:00+00:00,68639.1,,
2026-04-02 06:00:00+00:00,SWING_LOW,down,66171.8,H1,2026-04-02 06:00:00+00:00,66171.8,,
2026-04-02 08:00:00+00:00,SWING_HIGH,up,68639.1,H4,2026-04-02 08:00:00+00:00,68639.1,,
2026-04-02 09:00:00+00:00,SWING_HIGH,up,66898.5,H1,2026-04-02 09:00:00+00:00,66898.5,,
2026-04-02 11:16:00+00:00,SWEEP_DOWN,down,66171.8,H1,2026-04-02 06:00:00+00:00,66171.8,,
2026-04-02 11:17:00+00:00,FAILED_BREAK_DOWN,down,66171.8,H1,2026-04-02 11:16:00+00:00,66171.8,,
2026-04-02 14:38:00+00:00,SWEEP_UP,up,66898.5,H1,2026-04-02 09:00:00+00:00,66898.5,,
2026-04-02 14:39:00+00:00,FAILED_BREAK_UP,up,66898.5,H1,2026-04-02 14:38:00+00:00,66898.5,,
2026-04-02 15:00:00+00:00,SWING_LOW,down,65676.1,H1,2026-04-02 15:00:00+00:00,65676.1,,
2026-04-02 16:00:00+00:00,SWING_HIGH,up,67080.0,H1,2026-04-02 16:00:00+00:00,67080.0,,
2026-04-02 16:38:00+00:00,SWEEP_UP,up,67080.0,H1,2026-04-02 16:00:00+00:00,67080.0,,
2026-04-02 16:39:00+00:00,FAILED_BREAK_UP,up,67080.0,H1,2026-04-02 16:38:00+00:00,67080.0,,
2026-04-02 19:00:00+00:00,SWING_HIGH,up,67400.0,H1,2026-04-02 19:00:00+00:00,67400.0,,
