date,path,rows,start_ts,end_ts,duplicate_timestamps,max_timestamp_gap_minutes,synthetic_rows,nonpositive_ohlc_rows,is_full_1m_calendar_day,read_error
2026-03-10,feed\2026-03-10.csv,526,2026-03-10 15:14:00+00:00,2026-03-10 23:59:00+00:00,0,1.0333333333333334,,0,False,
2026-03-11,feed\2026-03-11.csv,615,2026-03-11 13:45:00+00:00,2026-03-11 23:59:00+00:00,0,1.0,4.0,0,False,
2026-03-12,feed\2026-03-12.csv,1440,2026-03-12 00:00:00+00:00,2026-03-12 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-13,feed\2026-03-13.csv,1440,2026-03-13 00:00:00+00:00,2026-03-13 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-14,feed\2026-03-14.csv,1440,2026-03-14 00:00:00+00:00,2026-03-14 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-15,feed\2026-03-15.csv,1439,2026-03-15 00:00:00+00:00,2026-03-15 23:59:00+00:00,0,2.0,1.0,1,True,
2026-03-16,feed\2026-03-16.csv,1440,2026-03-16 00:00:00+00:00,2026-03-16 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-17,feed\2026-03-17.csv,1440,2026-03-17 00:00:00+00:00,2026-03-17 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-18,feed\2026-03-18.csv,1440,2026-03-18 00:00:00+00:00,2026-03-18 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-19,feed\2026-03-19.csv,1440,2026-03-19 00:00:00+00:00,2026-03-19 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-20,feed\2026-03-20.csv,1440,2026-03-20 00:00:00+00:00,2026-03-20 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-21,feed\2026-03-21.csv,1440,2026-03-21 00:00:00+00:00,2026-03-21 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-22,feed\2026-03-22.csv,1440,2026-03-22 00:00:00+00:00,2026-03-22 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-23,feed\2026-03-23.csv,1440,2026-03-23 00:00:00+00:00,2026-03-23 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-24,feed\2026-03-24.csv,1440,2026-03-24 00:00:00+00:00,2026-03-24 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-25,feed\2026-03-25.csv,1440,2026-03-25 00:00:00+00:00,2026-03-25 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-26,feed\2026-03-26.csv,1440,2026-03-26 00:00:00+00:00,2026-03-26 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-27,feed\2026-03-27.csv,1440,2026-03-27 00:00:00+00:00,2026-03-27 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-28,feed\2026-03-28.csv,1440,2026-03-28 00:00:00+00:00,2026-03-28 23:59:00+00:00,0,1.0,0.0,0,True,
2026-03-29,feed\2026-03-29.csv,834,2026-03-29 00:00:00+00:00,2026-03-29 13:53:00+00:00,0,1.0,0.0,0,False,
