StopModel,ExpiryModel,SourceTF,Trades,TP,SL,Expiry,Unresolved,Winrate,NetR,MeanR,MedianR,AvgHoldBars,MaxHoldBars,AvgRiskDistance,MedianRiskDistance,SameBarExitCount,SameBarCollisionCount,SetupSyntheticCount,EntrySyntheticCount,ExitSyntheticCount,PathSyntheticCount
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:1440,H1,116,48,67,1,0,0.413793,4.534955,0.039094,-1.0,16.413793,1440.0,53.622414,31.45,43,12,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:1440,H4,37,23,14,0,0,0.621622,20.5,0.554054,1.5,6.783784,101.0,58.794595,35.7,13,9,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:2880,H1,116,48,68,0,0,0.413793,4.0,0.034483,-1.0,17.767241,1597.0,53.622414,31.45,43,12,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:2880,H4,37,23,14,0,0,0.621622,20.5,0.554054,1.5,6.783784,101.0,58.794595,35.7,13,9,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:4320,H1,116,48,68,0,0,0.413793,4.0,0.034483,-1.0,17.767241,1597.0,53.622414,31.45,43,12,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:4320,H4,37,23,14,0,0,0.621622,20.5,0.554054,1.5,6.783784,101.0,58.794595,35.7,13,9,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:5760,H1,116,48,68,0,0,0.413793,4.0,0.034483,-1.0,17.767241,1597.0,53.622414,31.45,43,12,0,0,0,0
REFERENCE_LEVEL_HARD_STOP,BARS_AFTER_ACTIVATION:5760,H4,37,23,14,0,0,0.621622,20.5,0.554054,1.5,6.783784,101.0,58.794595,35.7,13,9,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:1440,H1,116,43,72,1,0,0.37069,-7.862371,-0.067779,-1.0,31.094828,1440.0,121.043103,90.4,14,2,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:1440,H4,37,22,15,0,0,0.594595,18.0,0.486486,1.5,71.459459,646.0,190.664865,183.0,2,0,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:2880,H1,116,43,73,0,0,0.37069,-8.5,-0.073276,-1.0,32.474138,1600.0,121.043103,90.4,14,2,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:2880,H4,37,22,15,0,0,0.594595,18.0,0.486486,1.5,71.459459,646.0,190.664865,183.0,2,0,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:4320,H1,116,43,73,0,0,0.37069,-8.5,-0.073276,-1.0,32.474138,1600.0,121.043103,90.4,14,2,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:4320,H4,37,22,15,0,0,0.594595,18.0,0.486486,1.5,71.459459,646.0,190.664865,183.0,2,0,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:5760,H1,116,43,73,0,0,0.37069,-8.5,-0.073276,-1.0,32.474138,1600.0,121.043103,90.4,14,2,0,0,0,0
SWEEP_EXTREME_HARD_STOP,BARS_AFTER_ACTIVATION:5760,H4,37,22,15,0,0,0.594595,18.0,0.486486,1.5,71.459459,646.0,190.664865,183.0,2,0,0,0,0,0
