StopModel,SetupId,Direction,SourceTF,Exit1440,Exit2880,Exit4320,Exit5760,R1440,R2880,R4320,R5760,Hold1440,Hold5760,ChangedVs1440,Expiry1440ToTP,Expiry1440ToSL,UnchangedAcrossExpiries
REFERENCE_LEVEL_HARD_STOP,00eabed6624062efbb0b3a78,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,014ecd7503d10db04042f124,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,025e7e075769825cf28e132d,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,6,6,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,028f210d6ae7398f319e4a59,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,02fad7bef76374b8d7591c9b,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,043d80cf1fff7e8444a7cce2,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,04e732b034a1e58aad2b59c4,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,04ee299f4300ef0e82afebd5,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0640c64552644dbf6447f6ff,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0851cb6048e603db38e5bb54,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,08ece5642f91aaa3c0c93b7d,LONG,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,101,101,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,09dceefa4eb6595922e2fb7b,LONG,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,15,15,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0a7ca62d26b298a3789945d2,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0a844825ee63e3ed0feb88be,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0a89ae4c07c048833fc12041,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0c4383eaf7427d972907546c,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0c73ebb37dc32d075b0c2c2b,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,0d25765ec7778c11c037cd24,LONG,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,103b2a63c8c6fb295fa29254,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,1057e0131a3f2e9d51dc29f6,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,126f7920504f05e9482aa1c4,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,3,3,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,1722cf28ffad7cfffaf34261,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,17a17385132444bbc69ba80e,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,1aa6954e4d80fdcf5dbd92dd,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,1d5e5fbdffb037281048586e,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,1d5f009a1e37040a7f513c36,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,3,3,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,1e10913332d67fbba33b1436,SHORT,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,1e4b8e982b8ddc0b0c2f4b7b,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,209e524b66549a1332a160eb,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,20bbebe07f85f5df26d3a600,LONG,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,4,4,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,21a8adbf93b39efb8ee30726,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,234298795659ab85cbb63bb7,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,23f1e854006d3805e02248c1,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,24821ea89eb16e5962052714,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,51,51,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,29b1ca502ec72d82d0b31169,LONG,H1,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,2b972c2d5c1154445cef48ed,SHORT,H4,TARGET,TARGET,TARGET,TARGET,1.5,1.5,1.5,1.5,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,3006cd3533f5bb2880b10b4d,LONG,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,1,1,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,31eefac02f54e4831352747a,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,340c25db5319b8e0458f1ec1,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,3711c617488c92d9828c70cf,SHORT,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,39fadce143d44d7ddbaf9ac7,SHORT,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,2,2,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,3b2d5b57782523fddd044552,LONG,H1,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,53,53,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,405013a764fde5de604ad58a,SHORT,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
REFERENCE_LEVEL_HARD_STOP,41b0c0d1c811e60feabed7db,SHORT,H4,STOP,STOP,STOP,STOP,-1.0,-1.0,-1.0,-1.0,0,0,False,False,False,True
