ExpiryModel,SetupId,Direction,SourceTF,RefExit,SweepExit,RefR,SweepR,DeltaR_SweepMinusRef,RefRiskDistance,SweepRiskDistance,RefHoldBars,SweepHoldBars,SweepSavesReferenceSL,SweepMakesTPUnreachable,ReferenceWinsTinyR
BARS_AFTER_ACTIVATION:1440,00eabed6624062efbb0b3a78,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,328.4,437.4,4,17,False,False,False
BARS_AFTER_ACTIVATION:1440,014ecd7503d10db04042f124,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,35.3,179.3,2,13,False,False,False
BARS_AFTER_ACTIVATION:1440,025e7e075769825cf28e132d,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,112.5,130.8,6,7,False,False,False
BARS_AFTER_ACTIVATION:1440,028f210d6ae7398f319e4a59,LONG,H4,TARGET,TARGET,1.5,1.5,0.0,91.9,169.8,1,4,False,False,False
BARS_AFTER_ACTIVATION:1440,02fad7bef76374b8d7591c9b,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,16.2,31.0,4,6,False,False,False
BARS_AFTER_ACTIVATION:1440,043d80cf1fff7e8444a7cce2,LONG,H1,TARGET,STOP,1.5,-1.0,-2.5,39.8,77.9,1,12,False,True,True
BARS_AFTER_ACTIVATION:1440,04e732b034a1e58aad2b59c4,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,40.4,59.3,0,0,False,False,False
BARS_AFTER_ACTIVATION:1440,04ee299f4300ef0e82afebd5,LONG,H1,TARGET,TARGET,1.5,1.5,-0.0,26.8,188.2,0,114,False,False,False
BARS_AFTER_ACTIVATION:1440,0640c64552644dbf6447f6ff,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,74.8,174.0,4,26,False,False,False
BARS_AFTER_ACTIVATION:1440,0851cb6048e603db38e5bb54,SHORT,H1,TARGET,TARGET,1.5,1.5,0.0,37.9,48.9,2,24,False,False,False
BARS_AFTER_ACTIVATION:1440,08ece5642f91aaa3c0c93b7d,LONG,H4,STOP,STOP,-1.0,-1.0,0.0,221.7,348.2,101,119,False,False,False
BARS_AFTER_ACTIVATION:1440,09dceefa4eb6595922e2fb7b,LONG,H4,TARGET,TARGET,1.5,1.5,0.0,68.3,111.2,15,15,False,False,False
BARS_AFTER_ACTIVATION:1440,0a7ca62d26b298a3789945d2,SHORT,H1,STOP,STOP,-1.0,-1.0,0.0,1.0,151.1,1,3,False,False,False
BARS_AFTER_ACTIVATION:1440,0a844825ee63e3ed0feb88be,SHORT,H4,TARGET,TARGET,1.5,1.5,0.0,18.4,287.9,0,12,False,False,False
BARS_AFTER_ACTIVATION:1440,0a89ae4c07c048833fc12041,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,3.8,83.3,0,5,False,False,False
BARS_AFTER_ACTIVATION:1440,0c4383eaf7427d972907546c,LONG,H1,STOP,STOP,-1.0,-1.0,0.0,4.1,25.5,0,2,False,False,False
