Section,Metric,H2_ALL,H2_LONG,H2_SHORT,H1_ALL
density,total_setups,316,168,148,28
density,avg_per_day,26.3,14.0,12.3,2.3
density,zero_setup_days,0,,,0
outcome,MFE_Pct_mean,0.1838,0.1843,0.1833,0.1853
outcome,MFE_Pct_median,0.1278,0.1359,0.1166,0.1363
outcome,MAE_Pct_mean,-0.1241,-0.1209,-0.1276,-0.1644
outcome,MAE_Pct_median,-0.0765,-0.0810,-0.0723,-0.1092
outcome,CloseReturn_Pct_mean,0.0181,0.0230,0.0124,0.0052
outcome,CloseReturn_Pct_median,0.0239,0.0219,0.0241,-0.0135
label,FULL_FADE_pct,30.4,27.4,33.8,
label,PARTIAL_FADE_pct,51.9,54.2,49.3,
label,NO_FADE_pct,17.7,18.5,16.9,
label,RECLAIM_HELD_pct,36.7,35.7,37.8,
label,RECLAIM_FAILED_pct,63.3,64.3,62.2,
label,EARLY_CONTINUATION_pct,48.7,46.4,51.4,
