Section,Feature,Value,Subpop,N,N_HELD,N_FAILED,HELD_rate,FAILED_rate,LOW_SAMPLE
S1_binary,CtxLiqSpike_v1,True,ALL,42,25,17,0.5952,0.4048,
S1_binary,CtxLiqSpike_v1,False,ALL,273,91,182,0.3333,0.6667,
S1_binary,CtxDeltaSpike_v1,True,ALL,99,43,56,0.4343,0.5657,
S1_binary,CtxDeltaSpike_v1,False,ALL,216,73,143,0.338,0.662,
S1_binary,CtxWickReclaim_v1,True,ALL,13,1,12,0.0769,0.9231,YES
S1_binary,CtxWickReclaim_v1,False,ALL,302,115,187,0.3808,0.6192,
S1_binary,CtxLiqSpike_v1,True,LONG,20,11,9,0.55,0.45,
S1_binary,CtxLiqSpike_v1,False,LONG,148,49,99,0.3311,0.6689,
S1_binary,CtxDeltaSpike_v1,True,LONG,57,22,35,0.386,0.614,
S1_binary,CtxDeltaSpike_v1,False,LONG,111,38,73,0.3423,0.6577,
S1_binary,CtxWickReclaim_v1,True,LONG,7,0,7,0.0,1.0,YES
S1_binary,CtxWickReclaim_v1,False,LONG,161,60,101,0.3727,0.6273,
S1_binary,CtxLiqSpike_v1,True,SHORT,22,14,8,0.6364,0.3636,
S1_binary,CtxLiqSpike_v1,False,SHORT,125,42,83,0.336,0.664,
S1_binary,CtxDeltaSpike_v1,True,SHORT,42,21,21,0.5,0.5,
S1_binary,CtxDeltaSpike_v1,False,SHORT,105,35,70,0.3333,0.6667,
S1_binary,CtxWickReclaim_v1,True,SHORT,6,1,5,0.1667,0.8333,YES
S1_binary,CtxWickReclaim_v1,False,SHORT,141,55,86,0.3901,0.6099,
S2_absorption,AbsorptionScore_v1,LOW,ALL,118,50,68,0.4237,0.5763,
S2_absorption,AbsorptionScore_v1,MID,ALL,140,34,106,0.2429,0.7571,
S2_absorption,AbsorptionScore_v1,HIGH,ALL,57,32,25,0.5614,0.4386,
S2_absorption,AbsorptionScore_v1,LOW,LONG,60,23,37,0.3833,0.6167,
S2_absorption,AbsorptionScore_v1,MID,LONG,78,22,56,0.2821,0.7179,
S2_absorption,AbsorptionScore_v1,HIGH,LONG,30,15,15,0.5,0.5,
S2_absorption,AbsorptionScore_v1,LOW,SHORT,58,27,31,0.4655,0.5345,
S2_absorption,AbsorptionScore_v1,MID,SHORT,62,12,50,0.1935,0.8065,
S2_absorption,AbsorptionScore_v1,HIGH,SHORT,27,17,10,0.6296,0.3704,
S3_numeric,RelVolume_20,HIGH,ALL,157,58,99,0.3694,0.6306,
S3_numeric,RelVolume_20,LOW,ALL,158,58,100,0.3671,0.6329,
S3_numeric,DeltaAbsRatio_20,HIGH,ALL,157,65,92,0.414,0.586,
S3_numeric,DeltaAbsRatio_20,LOW,ALL,158,51,107,0.3228,0.6772,
S3_numeric,OIChangeAbsRatio_20,HIGH,ALL,157,59,98,0.3758,0.6242,
S3_numeric,OIChangeAbsRatio_20,LOW,ALL,158,57,101,0.3608,0.6392,
S3_numeric,LiqTotalRatio_20,NONZERO,ALL,89,44,45,0.4944,0.5056,
S3_numeric,LiqTotalRatio_20,ZERO,ALL,226,72,154,0.3186,0.6814,
S3_numeric,RelVolume_20,HIGH,SHORT,68,25,43,0.3676,0.6324,
S3_numeric,RelVolume_20,LOW,SHORT,79,31,48,0.3924,0.6076,
S3_numeric,DeltaAbsRatio_20,HIGH,SHORT,69,29,40,0.4203,0.5797,
S3_numeric,DeltaAbsRatio_20,LOW,SHORT,78,27,51,0.3462,0.6538,
S3_numeric,OIChangeAbsRatio_20,HIGH,SHORT,74,28,46,0.3784,0.6216,
S3_numeric,OIChangeAbsRatio_20,LOW,SHORT,73,28,45,0.3836,0.6164,
S3_numeric,LiqTotalRatio_20,NONZERO,SHORT,40,19,21,0.475,0.525,
S3_numeric,LiqTotalRatio_20,ZERO,SHORT,107,37,70,0.3458,0.6542,
S4_session,Session,ASIA,ALL,127,45,82,0.3543,0.6457,
S4_session,Session,EU,ALL,86,29,57,0.3372,0.6628,
S4_session,Session,US,ALL,102,42,60,0.4118,0.5882,
S4_session,Session,ASIA,LONG,61,22,39,0.3607,0.6393,
S4_session,Session,EU,LONG,47,15,32,0.3191,0.6809,
S4_session,Session,US,LONG,60,23,37,0.3833,0.6167,
S4_session,Session,ASIA,SHORT,66,23,43,0.3485,0.6515,
S4_session,Session,EU,SHORT,39,14,25,0.359,0.641,
S4_session,Session,US,SHORT,42,19,23,0.4524,0.5476,
S5_combined_short,SHORT x CtxWickReclaim_v1,True,SHORT,6,1,5,0.1667,0.8333,YES
S5_combined_short,SHORT x CtxWickReclaim_v1,False,SHORT,141,55,86,0.3901,0.6099,
S5_combined_short,SHORT x CtxLiqSpike_v1,True,SHORT,22,14,8,0.6364,0.3636,
S5_combined_short,SHORT x CtxLiqSpike_v1,False,SHORT,125,42,83,0.336,0.664,
S5_combined_short,SHORT x CtxDeltaSpike_v1,True,SHORT,42,21,21,0.5,0.5,
S5_combined_short,SHORT x CtxDeltaSpike_v1,False,SHORT,105,35,70,0.3333,0.6667,
S5_combined_short,SHORT x AbsorptionScore,LOW,SHORT,58,27,31,0.4655,0.5345,
S5_combined_short,SHORT x AbsorptionScore,MID,SHORT,62,12,50,0.1935,0.8065,
S5_combined_short,SHORT x AbsorptionScore,HIGH,SHORT,27,17,10,0.6296,0.3704,
S5_combined_short,SHORT x US x CtxDeltaSpike_v1,True,SHORT_US,13,9,4,0.6923,0.3077,YES
S5_combined_short,SHORT x US x CtxDeltaSpike_v1,False,SHORT_US,29,10,19,0.3448,0.6552,
S5_combined_short,SHORT x US x CtxLiqSpike_v1,True,SHORT_US,9,6,3,0.6667,0.3333,YES
S5_combined_short,SHORT x US x CtxLiqSpike_v1,False,SHORT_US,33,13,20,0.3939,0.6061,
