Section,Group,SampleCount,MFE_mean,MFE_median,MAE_mean,MAE_median,CloseReturn_mean,CloseReturn_median,PositiveCloseReturnRate,FULL_FADE_share,PARTIAL_FADE_share,NO_FADE_share,EARLY_CONTINUATION_share,RECLAIM_HELD_share,LOW_SAMPLE
S1_baseline,H2_ALL,315,0.1842,0.1278,-0.1244,-0.0768,0.0179,0.0239,0.5619,0.3016,0.5206,0.1778,0.4889,0.3683,
S1_baseline,H2_LONG,168,0.1843,0.1359,-0.1209,-0.081,0.023,0.0219,0.5476,0.2738,0.5417,0.1845,0.4643,0.3571,
S1_baseline,H2_SHORT,147,0.1841,0.1167,-0.1283,-0.0734,0.0121,0.024,0.5782,0.3333,0.4966,0.1701,0.517,0.381,
S2_dir_x_reclaim,LONG_RECLAIM_HELD,60,0.2926,0.2486,-0.0294,-0.0021,0.1392,0.1206,0.7667,0.6,0.3833,0.0167,0.7667,1.0,
S2_dir_x_reclaim,LONG_RECLAIM_FAILED,108,0.1241,0.0915,-0.1718,-0.1082,-0.0415,-0.011,0.4259,0.0926,0.6296,0.2778,0.2963,0.0,
S2_dir_x_reclaim,SHORT_RECLAIM_HELD,56,0.2861,0.2396,-0.0075,0.0051,0.1471,0.1368,0.8214,0.7321,0.2679,0.0,0.875,1.0,
S2_dir_x_reclaim,SHORT_RECLAIM_FAILED,91,0.1213,0.0818,-0.2026,-0.1212,-0.0711,-0.018,0.4286,0.0879,0.6374,0.2747,0.2967,0.0,
S3_dir_x_session,LONG_ASIA,61,0.1507,0.12,-0.097,-0.0692,0.0318,0.0324,0.6066,0.3115,0.5082,0.1803,0.4426,0.3607,
S3_dir_x_session,LONG_EU,47,0.2078,0.137,-0.1201,-0.0815,0.0474,0.0453,0.5957,0.234,0.5745,0.1915,0.4894,0.3191,
S3_dir_x_session,LONG_US,60,0.2,0.1668,-0.1459,-0.1002,-0.005,-0.014,0.45,0.2667,0.55,0.1833,0.4667,0.3833,
S3_dir_x_session,SHORT_ASIA,66,0.1465,0.1006,-0.0937,-0.0945,0.0227,0.0046,0.5303,0.2727,0.5303,0.197,0.4848,0.3485,
S3_dir_x_session,SHORT_EU,39,0.1988,0.1193,-0.2239,-0.0646,-0.0743,0.0124,0.5641,0.3333,0.4872,0.1795,0.4872,0.359,
S3_dir_x_session,SHORT_US,42,0.2294,0.2026,-0.094,-0.0638,0.0755,0.0915,0.6667,0.4286,0.4524,0.119,0.5952,0.4524,
S4_dir_x_reclaim_x_session,LONG_RECLAIM_HELD_ASIA,22,0.2534,0.1895,-0.0152,0.0014,0.1455,0.1133,0.8182,0.6364,0.3182,0.0455,0.7727,1.0,
S4_dir_x_reclaim_x_session,LONG_RECLAIM_HELD_EU,15,0.3477,0.2914,-0.0183,-0.0006,0.1708,0.1348,0.8,0.6,0.4,0.0,0.8,1.0,YES
S4_dir_x_reclaim_x_session,LONG_RECLAIM_HELD_US,23,0.2942,0.2598,-0.0501,-0.0037,0.1126,0.0982,0.6957,0.5652,0.4348,0.0,0.7391,1.0,
S4_dir_x_reclaim_x_session,LONG_RECLAIM_FAILED_ASIA,39,0.0928,0.0728,-0.1431,-0.0914,-0.0323,-0.0036,0.4872,0.1282,0.6154,0.2564,0.2564,0.0,
S4_dir_x_reclaim_x_session,LONG_RECLAIM_FAILED_EU,32,0.1422,0.1121,-0.1678,-0.1076,-0.0105,0.0044,0.5,0.0625,0.6562,0.2812,0.3438,0.0,
S4_dir_x_reclaim_x_session,LONG_RECLAIM_FAILED_US,37,0.1414,0.1249,-0.2055,-0.1739,-0.0781,-0.1126,0.2973,0.0811,0.6216,0.2973,0.2973,0.0,
S4_dir_x_reclaim_x_session,SHORT_RECLAIM_HELD_ASIA,23,0.2572,0.2111,-0.0142,0.0054,0.1343,0.0878,0.7826,0.6522,0.3478,0.0,0.8696,1.0,
S4_dir_x_reclaim_x_session,SHORT_RECLAIM_HELD_EU,14,0.3025,0.254,-0.0083,-0.0072,0.1224,0.0865,0.7857,0.7143,0.2857,0.0,0.8571,1.0,YES
S4_dir_x_reclaim_x_session,SHORT_RECLAIM_HELD_US,19,0.309,0.2851,0.001,0.0121,0.1809,0.2022,0.8947,0.8421,0.1579,0.0,0.8947,1.0,YES
S4_dir_x_reclaim_x_session,SHORT_RECLAIM_FAILED_ASIA,43,0.0873,0.0768,-0.1362,-0.1169,-0.037,-0.0198,0.3953,0.0698,0.6279,0.3023,0.2791,0.0,
S4_dir_x_reclaim_x_session,SHORT_RECLAIM_FAILED_EU,25,0.1407,0.0796,-0.3446,-0.1558,-0.1845,-0.0047,0.44,0.12,0.6,0.28,0.28,0.0,
