group,run_id,setup_id,entry_signal_ts,entry_activation_ts,exit_ts,exit_reason,exit_reason_category,holding_bars,entry_price_effective,initial_stop_price,initial_target_price,exit_price_effective,trade_return,outcome_return,mfe,mae,replay_minus_outcome,stop_distance,target_distance,target_to_stop_ratio,mfe_to_target,adverse_to_stop,horizon_mfe_reached_target,horizon_adverse_reached_stop,same_bar_collision,notes
outcome_positive_replay_negative,2026-03-13_to_2026-03-13_run_002,e9048ff4392a357baa2e9ef4,2026-03-13 14:54:00+00:00,2026-03-13 14:55:00+00:00,2026-03-13 14:55:00+00:00,STOP_LOSS,STOP,0.00000000,72473.40000000,72547.00000000,72363.00000000,72547.00000000,-0.00101555,0.00289468,0.00545440,-0.00191186,-0.00391022,0.00101555,0.00152332,1.50000000,3.58060287,1.88259901,True,True,False,entry_price_convention=next_bar_open | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False
outcome_positive_replay_negative,2026-03-14_to_2026-03-14_run_001,9a7c218cd57b2a6f2485d4c9,2026-03-14 12:34:00+00:00,2026-03-14 12:35:00+00:00,2026-03-14 12:47:00+00:00,EXPIRY,EXPIRY,12.00000000,70649.50000000,70707.00000000,70563.25000000,70659.10000000,-0.00013588,0.00056713,0.00196586,0.00041721,-0.00070301,0.00081388,0.00122082,1.50000000,1.61028363,0.00000000,True,False,False,entry_price_convention=next_bar_open | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=1; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=2; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=3; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=4; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=5; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=6; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=7; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=8; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=9; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=10; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=11; expiry_due=False | stop_not_hit | target_not_hit | expiry_hit_bars_after_activation=12 | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=12; expiry_due=True
outcome_positive_replay_negative,2026-03-14_to_2026-03-14_run_001,b09669f4694077692d1c11e2,2026-03-14 20:26:00+00:00,2026-03-14 20:27:00+00:00,2026-03-14 20:28:00+00:00,STOP_LOSS,STOP,1.00000000,70698.50000000,70707.90000000,70684.40000000,70707.90000000,-0.00013296,0.00003819,0.00019234,-0.00013294,-0.00017114,0.00013296,0.00019944,1.50000000,0.96441078,0.99986706,False,False,False,entry_price_convention=next_bar_open | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=1; expiry_due=False
outcome_positive_replay_negative,2026-03-14_to_2026-03-14_run_001,eb7c53c74c4e1cd4ff7d3149,2026-03-14 22:10:00+00:00,2026-03-14 22:11:00+00:00,2026-03-14 22:11:00+00:00,STOP_LOSS,STOP,0.00000000,70696.10000000,70707.90000000,70678.40000000,70707.90000000,-0.00016691,0.00031962,0.00053742,-0.00013577,-0.00048654,0.00016691,0.00025037,1.50000000,2.14653437,0.81342355,True,False,False,entry_price_convention=next_bar_open | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False
outcome_positive_replay_negative,2026-03-15_to_2026-03-15_run_001,6803bd368e510c07e556a394,2026-03-15 05:27:00+00:00,2026-03-15 05:28:00+00:00,2026-03-15 05:29:00+00:00,STOP_LOSS,STOP,1.00000000,71565.90000000,71599.90000000,71514.90000000,71599.90000000,-0.00047509,0.00054190,0.00099022,-0.00034637,-0.00101699,0.00047509,0.00071263,1.50000000,1.38953593,0.72906540,True,False,False,entry_price_convention=next_bar_open | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=1; expiry_due=False
outcome_positive_replay_negative,2026-03-16_to_2026-03-16_run_001,88a576f65861997c2f98cc1d,2026-03-16 21:22:00+00:00,2026-03-16 21:23:00+00:00,2026-03-16 21:35:00+00:00,STOP_LOSS,STOP,12.00000000,74216.40000000,74399.90000000,73941.15000000,74399.90000000,-0.00247250,0.00111290,0.00334006,0.00083737,-0.00358540,0.00247250,0.00370875,1.50000000,0.90058892,0.00000000,False,False,False,entry_price_convention=next_bar_open | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=1; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=2; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=3; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=4; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=5; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=6; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=7; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=8; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=9; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=10; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=11; expiry_due=False | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=12; expiry_due=True
outcome_positive_replay_negative,2026-03-16_to_2026-03-16_run_001,71e149956b2891ec6dbb4a40,2026-03-16 21:39:00+00:00,2026-03-16 21:40:00+00:00,2026-03-16 21:40:00+00:00,STOP_LOSS,STOP,0.00000000,74446.30000000,74481.50000000,74393.50000000,74481.50000000,-0.00047282,0.00030612,0.00267180,-0.00065117,-0.00077894,0.00047282,0.00070924,1.50000000,3.76715819,1.37718974,True,True,False,entry_price_convention=next_bar_open | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False
outcome_positive_replay_negative,2026-03-16_to_2026-03-16_run_001,b1145b0a3d18f3e309cd067f,2026-03-16 23:05:00+00:00,2026-03-16 23:06:00+00:00,2026-03-16 23:16:00+00:00,STOP_LOSS,STOP,10.00000000,74349.90000000,74481.50000000,74152.50000000,74481.50000000,-0.00177001,0.00055853,0.00376469,-0.00078946,-0.00232854,0.00177001,0.00265501,1.50000000,1.41795626,0.44601905,True,False,False,entry_price_convention=next_bar_open | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=1; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=2; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=3; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=4; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=5; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=6; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=7; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=8; expiry_due=False | stop_not_hit | target_not_hit | close_not_resolved_step2a | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=9; expiry_due=False | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=10; expiry_due=False
outcome_positive_replay_negative,2026-03-21_to_2026-03-21_run_001,73d9605ed7997458699da9f3,2026-03-21 04:27:00+00:00,2026-03-21 04:28:00+00:00,2026-03-21 04:28:00+00:00,STOP_LOSS,STOP,0.00000000,70738.10000000,70758.20000000,70707.95000000,70758.20000000,-0.00028415,0.00186127,0.00236298,-0.00034908,-0.00214542,0.00028415,0.00042622,1.50000000,5.54402999,1.22850665,True,True,False,entry_price_convention=next_bar_open | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False
outcome_positive_replay_negative,2026-03-30_to_2026-03-30_run_001,dc1d122fea6ababab9ca5718,2026-03-30 03:26:00+00:00,2026-03-30 03:27:00+00:00,2026-03-30 03:29:00+00:00,STOP_LOSS,STOP,2.00000000,67179.20000000,67201.30000000,67146.05000000,67201.30000000,-0.00032897,0.00020535,0.00115325,-0.00079314,-0.00053432,0.00032897,0.00049346,1.50000000,2.33708939,2.41097157,True,True,True,entry_price_convention=next_bar_open | stop_hit | target_hit | same_bar_collision_routed_to_policy | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=0; expiry_due=False | stop_hit | target_hit | same_bar_collision_routed_to_policy | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=1; expiry_due=False | stop_hit | target_not_hit | stop_hit_resolved | expiry_start_semantics=AFTER_ACTIVATION; expiry_model=BARS_AFTER_ACTIVATION:12; bars_since_activation=2; expiry_due=False
