run_id,setup_id,setup_bar_ts,entry_activation_ts,exit_ts,exit_reason_category,holding_bars,activation_first_event,activation_target_offset,activation_stop_offset,setup_first_event,setup_target_offset,setup_stop_offset,target_after_replay_exit,stop_after_replay_exit,entry_price_effective,initial_stop_price,initial_target_price,trade_return,outcome_return
2026-03-13_to_2026-03-13_run_002,e9048ff4392a357baa2e9ef4,2026-03-13 14:54:00+00:00,2026-03-13 14:55:00+00:00,2026-03-13 14:55:00+00:00,STOP,0,STOP_FIRST,3,0,STOP_FIRST,3,0,True,False,72473.40000000,72547.00000000,72363.00000000,-0.00101555,0.00289468
2026-03-14_to_2026-03-14_run_001,9a7c218cd57b2a6f2485d4c9,2026-03-14 12:34:00+00:00,2026-03-14 12:35:00+00:00,2026-03-14 12:47:00+00:00,EXPIRY,12,NONE,,,NONE,,,False,False,70649.50000000,70707.00000000,70563.25000000,-0.00013588,0.00056713
2026-03-14_to_2026-03-14_run_001,b09669f4694077692d1c11e2,2026-03-14 20:26:00+00:00,2026-03-14 20:27:00+00:00,2026-03-14 20:28:00+00:00,STOP,1,STOP_FIRST,,1,STOP_FIRST,,1,False,False,70698.50000000,70707.90000000,70684.40000000,-0.00013296,0.00003819
2026-03-14_to_2026-03-14_run_001,eb7c53c74c4e1cd4ff7d3149,2026-03-14 22:10:00+00:00,2026-03-14 22:11:00+00:00,2026-03-14 22:11:00+00:00,STOP,0,STOP_FIRST,4,0,STOP_FIRST,4,0,True,False,70696.10000000,70707.90000000,70678.40000000,-0.00016691,0.00031962
2026-03-15_to_2026-03-15_run_001,6803bd368e510c07e556a394,2026-03-15 05:27:00+00:00,2026-03-15 05:28:00+00:00,2026-03-15 05:29:00+00:00,STOP,1,STOP_FIRST,,1,STOP_FIRST,,1,False,False,71565.90000000,71599.90000000,71514.90000000,-0.00047509,0.00054190
2026-03-16_to_2026-03-16_run_001,88a576f65861997c2f98cc1d,2026-03-16 21:22:00+00:00,2026-03-16 21:23:00+00:00,2026-03-16 21:35:00+00:00,STOP,12,NONE,,,NONE,,,False,False,74216.40000000,74399.90000000,73941.15000000,-0.00247250,0.00111290
2026-03-16_to_2026-03-16_run_001,71e149956b2891ec6dbb4a40,2026-03-16 21:39:00+00:00,2026-03-16 21:40:00+00:00,2026-03-16 21:40:00+00:00,STOP,0,STOP_FIRST,2,0,STOP_FIRST,2,0,True,False,74446.30000000,74481.50000000,74393.50000000,-0.00047282,0.00030612
2026-03-16_to_2026-03-16_run_001,b1145b0a3d18f3e309cd067f,2026-03-16 23:05:00+00:00,2026-03-16 23:06:00+00:00,2026-03-16 23:16:00+00:00,STOP,10,STOP_FIRST,,10,STOP_FIRST,,10,False,False,74349.90000000,74481.50000000,74152.50000000,-0.00177001,0.00055853
2026-03-21_to_2026-03-21_run_001,73d9605ed7997458699da9f3,2026-03-21 04:27:00+00:00,2026-03-21 04:28:00+00:00,2026-03-21 04:28:00+00:00,STOP,0,STOP_FIRST,3,0,STOP_FIRST,3,0,True,False,70738.10000000,70758.20000000,70707.95000000,-0.00028415,0.00186127
2026-03-30_to_2026-03-30_run_001,dc1d122fea6ababab9ca5718,2026-03-30 03:26:00+00:00,2026-03-30 03:27:00+00:00,2026-03-30 03:29:00+00:00,STOP,2,SAME_BAR,0,0,SAME_BAR,0,0,False,False,67179.20000000,67201.30000000,67146.05000000,-0.00032897,0.00020535
2026-03-30_to_2026-03-30_run_001,fdc82fd70700de10af125196,2026-03-30 05:11:00+00:00,2026-03-30 05:12:00+00:00,2026-03-30 05:14:00+00:00,STOP,2,STOP_FIRST,,2,STOP_FIRST,,2,False,False,67618.90000000,67683.50000000,67522.00000000,-0.00095535,0.00104605
2026-03-30_to_2026-03-30_run_001,8c95baf40606bf0334673492,2026-03-30 13:23:00+00:00,2026-03-30 13:24:00+00:00,2026-03-30 13:24:00+00:00,STOP,0,STOP_FIRST,1,0,STOP_FIRST,1,0,True,False,68028.70000000,68034.10000000,68020.60000000,-0.00007938,0.00249434
2026-03-30_to_2026-03-30_run_001,b3035b21504142de0d31ec0e,2026-03-30 22:08:00+00:00,2026-03-30 22:09:00+00:00,2026-03-30 22:21:00+00:00,EXPIRY,12,NONE,,,NONE,,,False,False,66736.80000000,66873.10000000,66532.35000000,-0.00039259,0.00168977
2026-03-31_to_2026-03-31_run_001,4d0e53786332b73912212e57,2026-03-31 09:56:00+00:00,2026-03-31 09:57:00+00:00,2026-03-31 10:09:00+00:00,STOP,12,NONE,,,NONE,,,False,False,66102.80000000,66299.60000000,65807.60000000,-0.00297718,0.00025038
2026-03-31_to_2026-03-31_run_001,b5fae11a583ba6e5590cdb4a,2026-03-31 13:18:00+00:00,2026-03-31 13:19:00+00:00,2026-03-31 13:19:00+00:00,STOP,0,STOP_FIRST,1,0,STOP_FIRST,1,0,True,False,66812.40000000,66828.05000000,66788.92500000,-0.00023424,0.00081178
2026-04-01_to_2026-04-01_run_001,2c0adaf176d9be93398b285e,2026-04-01 00:26:00+00:00,2026-04-01 00:27:00+00:00,2026-04-01 00:27:00+00:00,STOP,0,STOP_FIRST,2,0,STOP_FIRST,2,0,True,False,67915.90000000,67933.45000000,67889.57500000,-0.00025841,0.00027453
2026-04-01_to_2026-04-01_run_001,0640c64552644dbf6447f6ff,2026-04-01 15:27:00+00:00,2026-04-01 15:28:00+00:00,2026-04-01 15:32:00+00:00,STOP,4,STOP_FIRST,,4,STOP_FIRST,,4,False,False,68699.10000000,68773.90000000,68586.90000000,-0.00108881,0.00094949
2026-04-03_to_2026-04-03_run_001,0435c376709032cd1d5e3635,2026-04-03 19:25:00+00:00,2026-04-03 19:26:00+00:00,2026-04-03 19:38:00+00:00,EXPIRY,12,NONE,,,NONE,,,False,False,66762.80000000,66802.70000000,66702.95000000,-0.00014978,0.00041615
2026-04-04_to_2026-04-04_run_001,0d446ea1ebfdaafa6a32abcb,2026-04-04 08:22:00+00:00,2026-04-04 08:23:00+00:00,2026-04-04 08:25:00+00:00,STOP,2,STOP_FIRST,11,2,STOP_FIRST,11,2,True,False,66980.00000000,66999.30000000,66951.05000000,-0.00028815,0.00085225
2026-04-04_to_2026-04-04_run_001,c47506b520c5969be32172e3,2026-04-04 08:22:00+00:00,2026-04-04 08:23:00+00:00,2026-04-04 08:29:00+00:00,STOP,6,STOP_FIRST,,6,STOP_FIRST,,6,False,False,66980.00000000,67023.70000000,66914.45000000,-0.00065243,0.00121599
2026-04-06_to_2026-04-06_run_001,997192969648603041d89db8,2026-04-06 14:39:00+00:00,2026-04-06 14:40:00+00:00,2026-04-06 14:52:00+00:00,EXPIRY,12,NONE,,,NONE,,,False,False,69373.00000000,69688.25000000,68900.12500000,-0.00070200,0.00452802
2026-04-08_to_2026-04-08_run_001,95d781aea4875d510d70d544,2026-04-08 02:36:00+00:00,2026-04-08 02:37:00+00:00,2026-04-08 02:39:00+00:00,STOP,2,STOP_FIRST,,2,STOP_FIRST,,2,False,False,71250.00000000,71306.95000000,71164.57500000,-0.00079930,0.00009747
2026-04-08_to_2026-04-08_run_001,2f2e3ecdc40504fd386cc091,2026-04-08 05:54:00+00:00,2026-04-08 05:55:00+00:00,2026-04-08 05:55:00+00:00,STOP,0,STOP_FIRST,2,0,STOP_FIRST,2,0,True,False,71706.70000000,71713.10000000,71697.10000000,-0.00008925,0.00132193
2026-04-08_to_2026-04-08_run_001,aa7746425674a7780b96da33,2026-04-08 09:10:00+00:00,2026-04-08 09:11:00+00:00,2026-04-08 09:11:00+00:00,STOP,0,STOP_FIRST,4,0,STOP_FIRST,4,0,True,False,71810.10000000,71821.81000000,71792.53500000,-0.00016307,0.00040670
2026-04-09_to_2026-04-09_run_001,29486e75553536de6ce2888d,2026-04-09 13:39:00+00:00,2026-04-09 13:40:00+00:00,2026-04-09 13:40:00+00:00,STOP,0,STOP_FIRST,,0,STOP_FIRST,,0,False,False,70826.10000000,70913.03000000,70695.70500000,-0.00122737,0.00218620
2026-04-11_to_2026-04-11_run_001,103b2a63c8c6fb295fa29254,2026-04-11 12:05:00+00:00,2026-04-11 12:06:00+00:00,2026-04-11 12:06:00+00:00,STOP,0,STOP_FIRST,4,0,STOP_FIRST,4,0,True,False,72881.30000000,72886.00000000,72874.25000000,-0.00006449,0.00000549
2026-04-12_to_2026-04-12_run_001,22617e9bf0ad683209c226b1,2026-04-12 19:15:00+00:00,2026-04-12 19:16:00+00:00,2026-04-12 19:28:00+00:00,EXPIRY,12,NONE,,,NONE,,,False,False,71100.00000000,71130.55000000,71054.17500000,-0.00033333,0.00021299
