slice,run_id,setup_id,setup_type_original,entry_signal_ts,exit_reason,exit_reason_category,close_return_pct,mfe_pct,mae_pct,trade_return_pct,replay_minus_outcome,outcome_positive,replay_positive
ctx_spike_count_ge2,2026-03-13_to_2026-03-13_run_002,533895d88d73633f596e4f52,FAILED_BREAK_RECLAIM_SHORT,2026-03-13 09:17:00+00:00,STOP_LOSS,STOP,-0.00238494,0.00092298,-0.00238494,-0.00022346,0.00216148,False,False
ctx_spike_count_ge2,2026-03-13_to_2026-03-13_run_002,ac460b751274fc49c5510ca7,FAILED_BREAK_RECLAIM_SHORT,2026-03-13 12:35:00+00:00,STOP_LOSS,STOP,-0.00113995,0.00362661,-0.00235847,-0.00262033,-0.00148038,False,False
ctx_spike_count_ge2,2026-03-13_to_2026-03-13_run_002,e9048ff4392a357baa2e9ef4,FAILED_BREAK_RECLAIM_SHORT,2026-03-13 14:54:00+00:00,STOP_LOSS,STOP,0.00289468,0.00545440,-0.00191186,-0.00101555,-0.00391022,True,False
ctx_spike_count_ge2,2026-03-13_to_2026-03-13_run_002,2565cc62e1413ec7fbefc2d5,FAILED_BREAK_RECLAIM_SHORT,2026-03-13 15:25:00+00:00,TAKE_PROFIT,TARGET,0.00354529,0.00383751,-0.00035012,0.00027711,-0.00326817,True,True
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,d768208932f92e5d0c49e072,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 12:11:00+00:00,TAKE_PROFIT,TARGET,-0.00013294,0.00072553,-0.00016971,0.00010608,0.00023902,False,True
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,18c6dd699e34256065e1bc4c,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 12:17:00+00:00,TAKE_PROFIT,TARGET,0.00047520,0.00059400,-0.00032387,0.00022491,-0.00025030,True,True
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,1dc182573874fa587836151a,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 12:28:00+00:00,TAKE_PROFIT,TARGET,0.00151470,0.00196586,-0.00000141,0.00018883,-0.00132587,True,True
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,b3ab60b49829c342a9b6a3d2,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 12:33:00+00:00,TAKE_PROFIT,TARGET,0.00149207,0.00196586,0.00031821,0.00047747,-0.00101460,True,True
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,9a7c218cd57b2a6f2485d4c9,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 12:34:00+00:00,EXPIRY,EXPIRY,0.00056713,0.00196586,0.00041721,-0.00013588,-0.00070301,True,False
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,a7c906ac09672ac4a4cda082,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 13:07:00+00:00,STOP_LOSS,STOP,-0.00146237,0.00033519,-0.00154723,-0.00001839,0.00144399,False,False
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,047e5be7b0791c1d8dd42e1f,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 14:14:00+00:00,STOP_LOSS,STOP,-0.00061663,0.00079200,-0.00102253,-0.00018672,0.00042991,False,False
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,8ee2e9de40acbc616926fb69,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 14:40:00+00:00,TAKE_PROFIT,TARGET,0.00135489,0.00239863,0.00009759,0.00046898,-0.00088590,True,True
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,adf8665a2e1700de5097d4de,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 20:25:00+00:00,STOP_LOSS,STOP,-0.00000990,0.00047802,-0.00013294,-0.00047825,-0.00046835,False,False
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,b09669f4694077692d1c11e2,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 20:26:00+00:00,STOP_LOSS,STOP,0.00003819,0.00019234,-0.00013294,-0.00013296,-0.00017114,True,False
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,fabcf3e4d05c3ef741ebdaf9,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 20:34:00+00:00,STOP_LOSS,STOP,-0.00088675,0.00011314,-0.00179754,-0.00011315,0.00077359,False,False
ctx_spike_count_ge2,2026-03-14_to_2026-03-14_run_001,9baf13d9d6b43c648c547931,FAILED_BREAK_RECLAIM_SHORT,2026-03-14 21:07:00+00:00,TAKE_PROFIT,TARGET,0.00034084,0.00135770,0.00006223,0.00064943,0.00030859,True,True
