variant,run_id,status,source_setups,selected_setups,output_dir,trade_count,resolved_trade_count,unresolved_trade_count,win_rate,mean_return,median_return,promotion_decision,validation_status,robustness_status,notes
baseline_current,2026-03-13_to_2026-03-13_run_002,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-03-13_to_2026-03-13_run_002,4,4,0,0.25,-0.00089556,-0.00061950,REJECT,FAIL,UNSTABLE,
entry_delay_1,2026-03-13_to_2026-03-13_run_002,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-03-13_to_2026-03-13_run_002,4,4,0,0.75,-0.00049716,0.00019233,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-03-13_to_2026-03-13_run_002,COMPLETED,4,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-03-13_to_2026-03-13_run_002,4,4,0,0.75,0.00024138,0.00070751,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-03-13_to_2026-03-13_run_002,COMPLETED,4,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-03-13_to_2026-03-13_run_002,2,2,0,0.5,-0.00118666,-0.00118666,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-03-13_to_2026-03-13_run_002,COMPLETED,4,2,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-03-13_to_2026-03-13_run_002,2,2,0,0.5,-0.00118666,-0.00118666,REJECT,FAIL,UNSTABLE,
baseline_current,2026-03-14_to_2026-03-14_run_001,COMPLETED,13,13,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-03-14_to_2026-03-14_run_001,13,13,0,0.46153846153846156,0.00006796,-0.00001839,REJECT,FAIL,FRAGILE,
entry_delay_1,2026-03-14_to_2026-03-14_run_001,COMPLETED,13,13,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-03-14_to_2026-03-14_run_001,13,13,0,0.38461538461538464,-0.00003196,-0.00006082,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-03-14_to_2026-03-14_run_001,COMPLETED,13,13,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-03-14_to_2026-03-14_run_001,13,13,0,0.6153846153846154,0.00000886,0.00002404,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-03-14_to_2026-03-14_run_001,COMPLETED,13,10,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-03-14_to_2026-03-14_run_001,10,10,0,0.3,-0.00005201,-0.00009760,REJECT,FAIL,UNSTABLE,
favorable_close_confirm_1,2026-03-14_to_2026-03-14_run_001,COMPLETED,13,4,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/favorable_close_confirm_1/2026-03-14_to_2026-03-14_run_001,4,4,0,0.0,-0.00037568,-0.00040749,REJECT,FAIL,UNSTABLE,
baseline_current,2026-03-14_to_2026-03-14_run_002,COMPLETED,13,13,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/baseline_current/2026-03-14_to_2026-03-14_run_002,13,13,0,0.46153846153846156,0.00006796,-0.00001839,REJECT,FAIL,FRAGILE,
entry_delay_1,2026-03-14_to_2026-03-14_run_002,COMPLETED,13,13,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_1/2026-03-14_to_2026-03-14_run_002,13,13,0,0.38461538461538464,-0.00003196,-0.00006082,REJECT,FAIL,UNSTABLE,
entry_delay_2,2026-03-14_to_2026-03-14_run_002,COMPLETED,13,13,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/entry_delay_2/2026-03-14_to_2026-03-14_run_002,13,13,0,0.6153846153846154,0.00000886,0.00002404,REJECT,FAIL,UNSTABLE,
survival_confirm_1,2026-03-14_to_2026-03-14_run_002,COMPLETED,13,10,/tmp/short_reclaim_timing_survival_diagnostic_2026-05-03/backtests/survival_confirm_1/2026-03-14_to_2026-03-14_run_002,10,10,0,0.3,-0.00005201,-0.00009760,REJECT,FAIL,UNSTABLE,
