surface_id,family,side,horizon,session,regime,vwap_bucket,volume_bucket,rejection_bucket,raw_events,clustered_events,independent_trade_days,events_per_day_max,largest_day_event_share,mean_return,median_return,positive_rate,avg_mfe,avg_mae,mfe_mae_ratio,day_concentration_max_share,session_distribution,gross_edge_bp,net_edge_bp_after_0_00015,net_edge_bp_after_0_00020,verdict,verdict_reason
VWAP_DEVIATION_REVERSION|SHORT|60|US|CHOP|EXTREME_GE_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,US,CHOP,EXTREME_GE_1_0,Q90_95,MID_0_25_0_45,14885,1,1,1,1.0,0.0181885734,0.0181885734,1.0,0.021686857,-7.82123e-05,277.281924,1.0,"{""US"": 1}",181.885734,180.385734,179.885734,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|LONDON|EXPANSION|EXTREME_GE_1_0|Q75_90|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,LONDON,EXPANSION,EXTREME_GE_1_0,Q75_90,MID_0_25_0_45,14885,1,1,1,1.0,0.0173193384,0.0173193384,1.0,0.0238039171,-0.0023255163,10.235971,1.0,"{""LONDON"": 1}",173.193384,171.693384,171.193384,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|US|REVERSAL_CANDIDATE|HIGH_0_6_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,24,US,REVERSAL_CANDIDATE,HIGH_0_6_1_0,BELOW_Q75,LOW_LT_0_25,14885,1,1,1,1.0,0.0151066434,0.0151066434,1.0,0.0081949234,-1.48e-06,5537.110405,1.0,"{""US"": 1}",151.066434,149.566434,149.066434,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|ASIA|EXPANSION|HIGH_0_6_1_0|Q90_95|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,SHORT,60,ASIA,EXPANSION,HIGH_0_6_1_0,Q90_95,LOW_LT_0_25,14885,2,1,2,1.0,0.0149756652,0.0149756652,1.0,0.0173532329,-0.0001088999,159.350311,1.0,"{""ASIA"": 2}",149.756652,148.256652,147.756652,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|EXPANSION|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,US,EXPANSION,HIGH_0_6_1_0,Q90_95,MID_0_25_0_45,14885,1,1,1,1.0,0.0146656071,0.0146656071,1.0,0.0167693667,-0.0012824703,13.075832,1.0,"{""US"": 1}",146.656071,145.156071,144.656071,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|LONG|60|LONDON|REVERSAL_CANDIDATE|HIGH_0_6_1_0|Q90_95|MID_0_25_0_45,EXHAUSTION_REVERSAL,LONG,60,LONDON,REVERSAL_CANDIDATE,HIGH_0_6_1_0,Q90_95,MID_0_25_0_45,282,1,1,1,1.0,0.0141209355,0.0141209355,1.0,0.0145487978,0.0,999.0,1.0,"{""LONDON"": 1}",141.209355,139.709355,139.209355,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|LONG|60|US|UNKNOWN|HIGH_0_6_1_0|BELOW_Q75|LOW_LT_0_25,VWAP_DEVIATION_REVERSION,LONG,60,US,UNKNOWN,HIGH_0_6_1_0,BELOW_Q75,LOW_LT_0_25,15336,1,1,1,1.0,0.0139835082,0.0139835082,1.0,0.0192728636,-6.14693e-05,313.536409,1.0,"{""US"": 1}",139.835082,138.335082,137.835082,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|24|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q75_90|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,24,LONDON,REVERSAL_CANDIDATE,EXTREME_GE_1_0,Q75_90,STRONG_GE_0_45,14885,1,1,1,1.0,0.013508588,0.013508588,1.0,0.0099303864,-0.0001364886,72.75616,1.0,"{""LONDON"": 1}",135.08588,133.58588,133.08588,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
VWAP_DEVIATION_REVERSION|SHORT|60|US|CHOP|HIGH_0_6_1_0|Q90_95|STRONG_GE_0_45,VWAP_DEVIATION_REVERSION,SHORT,60,US,CHOP,HIGH_0_6_1_0,Q90_95,STRONG_GE_0_45,14885,1,1,1,1.0,0.0132499362,0.0132499362,1.0,0.0179313929,-0.0004593243,39.038633,1.0,"{""US"": 1}",132.499362,130.999362,130.499362,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
EXHAUSTION_REVERSAL|SHORT|60|LONDON|REVERSAL_CANDIDATE|EXTREME_GE_1_0|Q90_95|STRONG_GE_0_45,EXHAUSTION_REVERSAL,SHORT,60,LONDON,REVERSAL_CANDIDATE,EXTREME_GE_1_0,Q90_95,STRONG_GE_0_45,302,1,1,1,1.0,0.013229618,0.013229618,1.0,0.0196843949,-0.0063399004,3.104843,1.0,"{""LONDON"": 1}",132.29618,130.79618,130.29618,REJECT_DISCOVERY_SURFACE,sample_below_50;independent_days_below_15;day_concentration_above_0_15
