family,side,horizon,surface_type,events,independent_days,max_day_count,max_day_share,mean_return_bp,median_return_bp,positive_rate,net_bp_after_0_00015,net_bp_after_0_00020,avg_MFE,avg_MAE,MFE_MAE_ratio,max_session_share,session_distribution,no_lookahead_predicates,verdict,verdict_reason
EXHAUSTION_REVERSAL,SHORT,24,family_side_horizon,181,54,10,0.055249,13.210062,14.338048,0.707182,11.710062,11.210062,26.482172,-15.065884,1.757758,0.39779,"{""ASIA"": 43, ""LATE_US"": 33, ""LONDON"": 33, ""US"": 72}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
EXHAUSTION_REVERSAL,SHORT,12,family_side_horizon,181,54,10,0.055249,11.789549,11.744872,0.729282,10.289549,9.789549,26.482172,-15.065884,1.757758,0.39779,"{""ASIA"": 43, ""LATE_US"": 33, ""LONDON"": 33, ""US"": 72}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
EXHAUSTION_REVERSAL,SHORT,60,family_side_horizon,181,54,10,0.055249,9.765443,12.876336,0.629834,8.265443,7.765443,51.658424,-39.558042,1.305889,0.39779,"{""ASIA"": 43, ""LATE_US"": 33, ""LONDON"": 33, ""US"": 72}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
EXHAUSTION_REVERSAL,LONG,60,family_side_horizon,161,49,10,0.062112,9.745225,10.146359,0.658385,8.245225,7.745225,44.049804,-36.923299,1.193008,0.42236,"{""ASIA"": 40, ""LATE_US"": 20, ""LONDON"": 33, ""US"": 68}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
EXHAUSTION_REVERSAL,SHORT,6,family_side_horizon,181,54,10,0.055249,8.761098,8.553625,0.718232,7.261098,6.761098,26.482172,-15.065884,1.757758,0.39779,"{""ASIA"": 43, ""LATE_US"": 33, ""LONDON"": 33, ""US"": 72}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
EXHAUSTION_REVERSAL,LONG,12,family_side_horizon,161,49,10,0.062112,8.166997,8.781185,0.701863,6.666997,6.166997,24.556963,-18.266918,1.344341,0.42236,"{""ASIA"": 40, ""LATE_US"": 20, ""LONDON"": 33, ""US"": 68}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
VWAP_DEVIATION_REVERSION,SHORT,60,family_side_horizon,1282,56,78,0.060842,8.124933,9.832838,0.605304,6.624933,6.124933,42.359219,-30.454814,1.390887,0.381435,"{""ASIA"": 171, ""LATE_US"": 362, ""LONDON"": 260, ""US"": 489}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
VWAP_DEVIATION_REVERSION,LONG,24,family_side_horizon,1271,52,73,0.057435,8.037441,7.091258,0.651456,6.537441,6.037441,19.832162,-10.571519,1.875999,0.411487,"{""ASIA"": 164, ""LATE_US"": 294, ""LONDON"": 290, ""US"": 523}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
VWAP_DEVIATION_REVERSION,LONG,60,family_side_horizon,1271,52,73,0.057435,8.026569,8.237094,0.609756,6.526569,6.026569,39.398227,-28.809562,1.36754,0.411487,"{""ASIA"": 164, ""LATE_US"": 294, ""LONDON"": 290, ""US"": 523}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
VWAP_DEVIATION_REVERSION,SHORT,24,family_side_horizon,1283,56,78,0.060795,7.997477,8.038477,0.638348,6.497477,5.997477,20.275192,-11.13947,1.820122,0.381138,"{""ASIA"": 171, ""LATE_US"": 362, ""LONDON"": 261, ""US"": 489}",True,NEEDS_REPLAY_SPEC,passes_repaired_replay_spec_gate
