family,side,horizon,session,surface_type,events,independent_days,max_day_count,max_day_share,mean_return_bp,median_return_bp,positive_rate,net_bp_after_0_00015,net_bp_after_0_00020,avg_MFE,avg_MAE,MFE_MAE_ratio,max_session_share,session_distribution,no_lookahead_predicates,verdict,verdict_reason
EXHAUSTION_REVERSAL,LONG,12,LATE_US,session_sanity,20,15,2,0.1,20.666015,22.062501,0.9,19.166015,18.666015,40.286299,-13.848271,2.909121,1.0,"{""LATE_US"": 20}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,SHORT,12,LONDON,session_sanity,33,19,3,0.090909,16.187084,15.694162,0.818182,14.687084,14.187084,26.586875,-13.087454,2.031478,1.0,"{""LONDON"": 33}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,LONG,6,LATE_US,session_sanity,20,15,2,0.1,15.867765,15.756653,0.8,14.367765,13.867765,40.286299,-13.848271,2.909121,1.0,"{""LATE_US"": 20}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,LONG,24,LATE_US,session_sanity,20,15,2,0.1,15.173158,18.291792,0.7,13.673158,13.173158,40.286299,-13.848271,2.909121,1.0,"{""LATE_US"": 20}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,SHORT,24,LONDON,session_sanity,33,19,3,0.090909,14.562979,15.744784,0.787879,13.062979,12.562979,26.586875,-13.087454,2.031478,1.0,"{""LONDON"": 33}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,LONG,60,LATE_US,session_sanity,20,15,2,0.1,13.300745,7.173485,0.7,11.800745,11.300745,52.406469,-40.207845,1.303389,1.0,"{""LATE_US"": 20}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,LONG,3,LATE_US,session_sanity,20,15,2,0.1,12.4495,11.60613,0.85,10.9495,10.4495,40.286299,-13.848271,2.909121,1.0,"{""LATE_US"": 20}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,SHORT,24,ASIA,session_sanity,43,26,4,0.093023,11.83217,14.914658,0.744186,10.33217,9.83217,22.556206,-11.932131,1.890375,1.0,"{""ASIA"": 43}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,SHORT,6,LONDON,session_sanity,33,19,3,0.090909,11.756221,9.64192,0.787879,10.256221,9.756221,26.586875,-13.087454,2.031478,1.0,"{""LONDON"": 33}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
EXHAUSTION_REVERSAL,LONG,24,LONDON,session_sanity,33,18,4,0.121212,10.975495,12.446529,0.787879,9.475495,8.975495,23.74923,-14.860387,1.598157,1.0,"{""LONDON"": 33}",True,REJECT_SURFACE,events_below_50;session_concentration_above_0_75
